txs_fraction,conflict_clusters,1_stage,2_stage,3_stage,4_stage
0.1,1,0.205357,0.582998,0.857957,0.962869,
0.1,3,0.207292,0.613771,0.872261,0.966943,
0.2,1,0.197601,0.556666,0.847477,0.962447,
0.2,3,0.201659,0.556686,0.84914,0.958341,
0.3,1,0.188684,0.532508,0.787476,0.934601,
0.3,3,0.190326,0.544701,0.786235,0.93882,
0.4,1,0.176573,0.499559,0.728726,0.898093,
0.4,3,0.180549,0.494833,0.726805,0.909354,
0.5,1,0.17088,0.465745,0.68946,0.878802,
0.5,3,0.176426,0.465034,0.696026,0.859566,
0.6,1,0.161018,0.419102,0.616205,0.789482,
0.6,3,0.162068,0.422652,0.60351,0.787927,
0.7,1,0.147829,0.359158,0.558156,0.702391,
0.7,3,0.148338,0.356329,0.530667,0.664393,
0.8,1,0.139187,0.284891,0.443533,0.577233,
0.8,3,0.14035,0.302775,0.450397,0.570702,
0.9,1,0.131027,0.201539,0.324977,0.393569,
0.9,3,0.131177,0.215019,0.3316,0.406251,
