txs_fraction,conflict_clusters,1_stage,2_stage,3_stage,4_stage
0.1,1,0.128371,0.222987,0.380006,0.518032,
0.1,3,0.130658,0.227175,0.39752,0.536545,
0.2,1,0.127219,0.213408,0.368804,0.511812,
0.2,3,0.129417,0.214296,0.384577,0.516873,
0.3,1,0.126701,0.196981,0.348052,0.464793,
0.3,3,0.127065,0.203544,0.366058,0.47549,
0.4,1,0.127284,0.189597,0.32066,0.438537,
0.4,3,0.127297,0.201793,0.332603,0.464172,
0.5,1,0.126781,0.172333,0.30148,0.409866,
0.5,3,0.12646,0.18805,0.31455,0.416808,
0.6,1,0.126207,0.168207,0.262451,0.370937,
0.6,3,0.126306,0.169956,0.279484,0.387898,
0.7,1,0.126771,0.156018,0.233372,0.328666,
0.7,3,0.126808,0.16212,0.262364,0.339935,
0.8,1,0.125469,0.144839,0.200134,0.266006,
0.8,3,0.125459,0.149851,0.216091,0.300475,
0.9,1,0.125154,0.135314,0.165005,0.196755,
0.9,3,0.125114,0.135435,0.175303,0.230635,
