txs_fraction,conflict_clusters,1_stage,2_stage,3_stage,4_stage
0.2,1,0.900649,0.992279,0.987656,0.981824,
0.2,3,0.932965,0.992183,0.988523,0.98192,
0.2,5,0.981095,0.992398,0.989979,0.983196,
0.2,7,0.98783,0.993217,0.989527,0.981895,
0.2,9,0.992454,0.992782,0.989979,0.982503,
0.4,1,0.724179,0.989136,0.984567,0.974975,
0.4,3,0.818783,0.990026,0.983494,0.972714,
0.4,5,0.8351,0.98955,0.986198,0.977649,
0.4,7,0.914098,0.990255,0.986709,0.978463,
0.4,9,0.937328,0.990788,0.989015,0.978798,
0.6,1,0.52033,0.809599,0.894741,0.893919,
0.6,3,0.592644,0.931656,0.970318,0.953817,
0.6,5,0.696012,0.979412,0.97866,0.959814,
0.6,7,0.747365,0.988756,0.981545,0.970395,
0.6,9,0.780732,0.988351,0.980979,0.973753,
0.8,1,0.322007,0.492752,0.524638,0.534725,
0.8,3,0.395451,0.651956,0.72996,0.762189,
0.8,5,0.52263,0.839302,0.918635,0.906339,
0.8,7,0.569965,0.923811,0.961421,0.923164,
0.8,9,0.657683,0.952339,0.96063,0.952152,
