num_oracles,read_tx_fraction,1_stage,2_stage,3_stage,4_stage
1,0.2,0.92713,0.99465,0.990816,0.98558,
1,0.4,0.79949,0.993324,0.990352,0.986506,
1,0.6,0.611291,0.99081,0.990181,0.986388,
1,0.8,0.391782,0.840854,0.956673,0.984411,
2,0.2,0.933585,0.99377,0.990853,0.986318,
2,0.4,0.808027,0.994204,0.98989,0.985701,
2,0.6,0.712818,0.992722,0.989271,0.986396,
2,0.8,0.572329,0.894543,0.9774,0.98416,
3,0.2,0.942205,0.994052,0.990906,0.985822,
3,0.4,0.799743,0.993797,0.99073,0.984917,
3,0.6,0.680382,0.992272,0.988869,0.985781,
3,0.8,0.539018,0.965756,0.989966,0.985394,
