num_oracles,read_tx_fraction,1_stage,2_stage,3_stage,4_stage
1,0.2,0.439122,0.953525,0.979493,0.978053,
1,0.4,0.351856,0.854974,0.924196,0.971248,
1,0.6,0.273522,0.768386,0.893893,0.945524,
1,0.8,0.1981,0.646362,0.793643,0.861805,
2,0.2,0.442376,0.954528,0.985387,0.9781,
2,0.4,0.355149,0.904254,0.973789,0.972817,
2,0.6,0.274236,0.849434,0.960559,0.97476,
2,0.8,0.197298,0.729358,0.864929,0.941743,
3,0.2,0.443517,0.972922,0.978236,0.979539,
3,0.4,0.35943,0.935701,0.982229,0.977462,
3,0.6,0.273136,0.851248,0.98294,0.975566,
3,0.8,0.196297,0.852631,0.935108,0.967602,
