num_oracles,read_tx_fraction,1_stage,2_stage,3_stage,4_stage
1,0.2,0.908284,0.992434,0.988258,0.982717,
1,0.4,0.804107,0.992849,0.989221,0.982476,
1,0.6,0.721306,0.986507,0.986725,0.980592,
1,0.8,0.641554,0.897113,0.963028,0.961846,
2,0.2,0.920396,0.993302,0.988891,0.98343,
2,0.4,0.804615,0.991274,0.989256,0.982313,
2,0.6,0.759821,0.989033,0.98956,0.981979,
2,0.8,0.696251,0.92544,0.977059,0.976595,
3,0.2,0.958243,0.991814,0.989791,0.98328,
3,0.4,0.81184,0.993249,0.988579,0.982758,
3,0.6,0.699,0.990766,0.988667,0.981714,
3,0.8,0.56707,0.961306,0.988077,0.982102,
