conflicts_per_tx,mean_ro_entries_per_conflict,mean_rw_entries_per_conflict,1_stage,2_stage,3_stage,4_stage
1,10,1,0.517763,0.976706,0.981432,0.978755,
1,10,2,0.569569,0.925471,0.958759,0.973417,
1,10,3,0.51794,0.897921,0.951756,0.956371,
1,10,4,0.509554,0.848536,0.926892,0.941437,
1,10,5,0.482174,0.772999,0.881374,0.921127,
1,20,1,0.444046,0.956717,0.978118,0.974851,
1,20,2,0.466154,0.927659,0.944738,0.967472,
1,20,3,0.465798,0.866513,0.939297,0.925739,
1,20,4,0.480937,0.816588,0.890135,0.917241,
1,20,5,0.462029,0.778109,0.872072,0.922366,
1,30,1,0.438893,0.913916,0.977825,0.961092,
1,30,2,0.460619,0.860989,0.937232,0.934183,
1,30,3,0.438098,0.85284,0.91069,0.92503,
1,30,4,0.445111,0.802824,0.920152,0.911488,
1,30,5,0.444022,0.788294,0.86453,0.885424,
1,40,1,0.423553,0.918539,0.959573,0.968543,
1,40,2,0.413438,0.885724,0.957679,0.923702,
1,40,3,0.412782,0.878493,0.94452,0.903934,
1,40,4,0.396075,0.769121,0.897785,0.888348,
1,40,5,0.422936,0.791247,0.858033,0.89834,
1,50,1,0.384609,0.908196,0.968197,0.952551,
1,50,2,0.384365,0.865242,0.969384,0.912935,
1,50,3,0.402902,0.835602,0.932141,0.914679,
1,50,4,0.382862,0.782469,0.891728,0.872842,
1,50,5,0.402083,0.838241,0.885481,0.884291,
2,10,1,0.329601,0.863554,0.973367,0.97374,
2,10,2,0.301642,0.726306,0.915128,0.94546,
2,10,3,0.286275,0.659048,0.849461,0.916826,
2,10,4,0.248159,0.563758,0.783661,0.869484,
2,10,5,0.267321,0.536885,0.740744,0.813881,
2,20,1,0.248317,0.755645,0.949093,0.961023,
2,20,2,0.24146,0.702152,0.899527,0.934719,
2,20,3,0.240002,0.64826,0.868478,0.909598,
2,20,4,0.238568,0.5717,0.769234,0.855225,
2,20,5,0.230987,0.533329,0.730002,0.844824,
2,30,1,0.234058,0.724045,0.942527,0.966392,
2,30,2,0.238458,0.647158,0.862578,0.894625,
2,30,3,0.224957,0.626882,0.849705,0.892081,
2,30,4,0.232414,0.573671,0.789865,0.852956,
2,30,5,0.233333,0.526356,0.753295,0.837322,
2,40,1,0.205423,0.675879,0.927495,0.959757,
2,40,2,0.222527,0.68219,0.907051,0.909874,
2,40,3,0.214376,0.635823,0.866682,0.870829,
2,40,4,0.221735,0.599942,0.803798,0.876567,
2,40,5,0.210667,0.48868,0.749987,0.821089,
2,50,1,0.199377,0.705783,0.916258,0.958667,
2,50,2,0.20907,0.653268,0.883441,0.903441,
2,50,3,0.206098,0.549548,0.808244,0.877159,
2,50,4,0.206825,0.572672,0.773676,0.839373,
2,50,5,0.217288,0.495295,0.691579,0.823601,
3,10,1,0.286059,0.681448,0.950421,0.976156,
3,10,2,0.238002,0.583663,0.832311,0.919854,
3,10,3,0.217849,0.507162,0.691392,0.853717,
3,10,4,0.185859,0.426969,0.625265,0.778652,
3,10,5,0.198053,0.392014,0.557605,0.691235,
3,20,1,0.173405,0.552369,0.900948,0.955511,
3,20,2,0.173088,0.471787,0.795863,0.913325,
3,20,3,0.166401,0.42884,0.683713,0.814751,
3,20,4,0.164218,0.391302,0.620585,0.769625,
3,20,5,0.162446,0.348497,0.571758,0.72667,
3,30,1,0.160921,0.518595,0.87584,0.957954,
3,30,2,0.163926,0.445475,0.777705,0.884216,
3,30,3,0.157899,0.392956,0.692465,0.828077,
3,30,4,0.161285,0.378756,0.614918,0.752874,
3,30,5,0.159155,0.339746,0.584127,0.725839,
3,40,1,0.159186,0.439705,0.855101,0.948103,
3,40,2,0.158606,0.466393,0.783686,0.8762,
3,40,3,0.147106,0.391549,0.710657,0.840924,
3,40,4,0.152686,0.371483,0.646392,0.784479,
3,40,5,0.161436,0.337038,0.527612,0.701965,
3,50,1,0.151471,0.444525,0.868338,0.939023,
3,50,2,0.148627,0.396899,0.703138,0.862849,
3,50,3,0.150183,0.38814,0.651097,0.797606,
3,50,4,0.15158,0.368683,0.624317,0.749652,
3,50,5,0.144017,0.321312,0.534839,0.667557,
4,10,1,0.240531,0.565954,0.864952,0.958658,
4,10,2,0.192996,0.47193,0.718043,0.878277,
4,10,3,0.185393,0.418269,0.587104,0.775046,
4,10,4,0.155716,0.362869,0.507199,0.657109,
4,10,5,0.167425,0.310339,0.434797,0.580779,
4,20,1,0.165657,0.443202,0.767121,0.948867,
4,20,2,0.15768,0.402134,0.684735,0.864387,
4,20,3,0.146996,0.335159,0.556005,0.708649,
4,20,4,0.148063,0.308867,0.471789,0.639721,
4,20,5,0.14486,0.255728,0.435775,0.579488,
4,30,1,0.137374,0.361449,0.752752,0.930247,
4,30,2,0.139474,0.313161,0.650629,0.825397,
4,30,3,0.134737,0.281141,0.546289,0.737035,
4,30,4,0.134788,0.253456,0.471112,0.651699,
4,30,5,0.133738,0.240094,0.426245,0.575863,
4,40,1,0.136276,0.31568,0.680922,0.901795,
4,40,2,0.13178,0.318262,0.658032,0.837141,
4,40,3,0.131286,0.272228,0.546549,0.764644,
4,40,4,0.133147,0.247123,0.500093,0.703537,
4,40,5,0.134347,0.237169,0.4532,0.569947,
4,50,1,0.133451,0.303751,0.6956,0.910949,
4,50,2,0.130213,0.284435,0.555282,0.784344,
4,50,3,0.131395,0.246623,0.500741,0.718127,
4,50,4,0.131497,0.228234,0.418616,0.647105,
4,50,5,0.131327,0.216764,0.422896,0.584064,
5,10,1,0.193933,0.47199,0.773191,0.936454,
