conflicts_per_tx,mean_ro_entries_per_conflict,mean_rw_entries_per_conflict,1_stage,2_stage,3_stage,4_stage
1,10,1,0.997867,0.995932,0.992867,0.991739,
1,10,2,0.997966,0.99637,0.993059,0.99189,
1,10,3,0.997688,0.99543,0.992895,0.989533,
1,10,4,0.997284,0.995085,0.992734,0.989036,
1,10,5,0.998306,0.995495,0.992629,0.989516,
1,20,1,0.998011,0.997151,0.992623,0.991793,
1,20,2,0.997838,0.996284,0.992657,0.99124,
1,20,3,0.997437,0.995593,0.993656,0.990083,
1,20,4,0.997917,0.994565,0.99309,0.989697,
1,20,5,0.996939,0.995322,0.993426,0.988346,
1,30,1,0.997437,0.995691,0.994039,0.991886,
1,30,2,0.997783,0.995728,0.994117,0.989558,
1,30,3,0.998392,0.996819,0.993698,0.990902,
1,30,4,0.998078,0.99506,0.993188,0.98967,
1,30,5,0.997639,0.995088,0.992756,0.989498,
1,40,1,0.99834,0.99641,0.993442,0.991523,
1,40,2,0.997522,0.996037,0.993226,0.99103,
1,40,3,0.998482,0.996066,0.993796,0.990419,
1,40,4,0.998119,0.994984,0.993042,0.989432,
1,40,5,0.997991,0.996012,0.993647,0.990225,
1,50,1,0.997821,0.99554,0.993837,0.992483,
1,50,2,0.998051,0.995901,0.994233,0.991891,
1,50,3,0.997393,0.996253,0.993818,0.990557,
1,50,4,0.997279,0.995371,0.993511,0.99012,
1,50,5,0.997573,0.995793,0.994756,0.989701,
2,10,1,0.997711,0.996389,0.992532,0.990407,
2,10,2,0.996785,0.994873,0.991992,0.988815,
2,10,3,0.997123,0.99427,0.991805,0.987877,
2,10,4,0.956337,0.995301,0.990822,0.986601,
2,10,5,0.916424,0.993709,0.990657,0.984714,
2,20,1,0.997495,0.995889,0.991817,0.990963,
2,20,2,0.996943,0.995084,0.99296,0.989818,
2,20,3,0.989898,0.993883,0.99438,0.989243,
2,20,4,0.98442,0.994956,0.991542,0.987011,
2,20,5,0.928596,0.993682,0.991671,0.986009,
2,30,1,0.997748,0.994808,0.993174,0.990592,
2,30,2,0.997214,0.994594,0.99331,0.987533,
2,30,3,0.993806,0.995307,0.992866,0.987587,
2,30,4,0.989013,0.994985,0.993256,0.986671,
2,30,5,0.919126,0.994149,0.991239,0.988027,
2,40,1,0.99775,0.995939,0.993316,0.990784,
2,40,2,0.997084,0.994837,0.992655,0.989945,
2,40,3,0.993939,0.993,0.992427,0.988956,
2,40,4,0.98147,0.993932,0.993254,0.987413,
2,40,5,0.924811,0.994405,0.991615,0.987597,
2,50,1,0.997935,0.995088,0.993408,0.991608,
2,50,2,0.997872,0.99511,0.993145,0.99115,
2,50,3,0.977433,0.994178,0.992885,0.98991,
2,50,4,0.983357,0.995791,0.9919,0.987752,
2,50,5,0.935341,0.989747,0.991623,0.988604,
3,10,1,0.996726,0.994326,0.991954,0.989426,
3,10,2,0.984093,0.994789,0.991973,0.986692,
3,10,3,0.888939,0.99269,0.990392,0.983937,
3,10,4,0.711092,0.986057,0.991572,0.985862,
3,10,5,0.689107,0.989595,0.989984,0.985161,
3,20,1,0.99757,0.994513,0.992387,0.989549,
3,20,2,0.981392,0.994379,0.992433,0.987034,
3,20,3,0.937013,0.993452,0.991613,0.986475,
3,20,4,0.848274,0.990848,0.991234,0.983744,
3,20,5,0.749524,0.988009,0.990941,0.98512,
3,30,1,0.99666,0.995297,0.993226,0.989521,
3,30,2,0.98455,0.993783,0.992013,0.987899,
3,30,3,0.930597,0.991292,0.991628,0.986199,
3,30,4,0.886079,0.977869,0.991116,0.985598,
3,30,5,0.730836,0.976269,0.990817,0.986243,
3,40,1,0.998282,0.994715,0.993443,0.990163,
3,40,2,0.993922,0.993935,0.992034,0.98919,
3,40,3,0.931983,0.983282,0.990735,0.987052,
3,40,4,0.890424,0.967406,0.992866,0.987242,
3,40,5,0.753959,0.970195,0.990098,0.986997,
3,50,1,0.997835,0.995894,0.993095,0.990835,
3,50,2,0.997376,0.994907,0.993236,0.991271,
3,50,3,0.90921,0.970017,0.991706,0.988691,
3,50,4,0.874796,0.973604,0.990864,0.987794,
3,50,5,0.792762,0.963598,0.991063,0.987927,
4,10,1,0.994745,0.995162,0.991469,0.988898,
4,10,2,0.881984,0.99426,0.992455,0.985274,
4,10,3,0.718886,0.986335,0.98902,0.98237,
4,10,4,0.581407,0.932672,0.987854,0.982999,
4,10,5,0.55936,0.877707,0.977674,0.980233,
4,20,1,0.995257,0.995966,0.991015,0.989125,
4,20,2,0.916609,0.99325,0.992411,0.986187,
4,20,3,0.782089,0.984276,0.98996,0.984891,
4,20,4,0.69884,0.961518,0.986786,0.983829,
4,20,5,0.580196,0.931571,0.983369,0.983984,
4,30,1,0.984652,0.99332,0.992792,0.988782,
4,30,2,0.928188,0.992997,0.991144,0.986384,
4,30,3,0.76847,0.976248,0.991253,0.985216,
4,30,4,0.713282,0.951687,0.989154,0.985406,
4,30,5,0.589889,0.918035,0.986558,0.985202,
4,40,1,0.990367,0.987793,0.992696,0.989181,
4,40,2,0.980329,0.993521,0.991783,0.987842,
4,40,3,0.780648,0.970214,0.985752,0.986145,
4,40,4,0.757501,0.936003,0.985667,0.985123,
4,40,5,0.658554,0.879345,0.974661,0.984665,
4,50,1,0.997707,0.988792,0.992665,0.990024,
4,50,2,0.949225,0.98049,0.993195,0.98933,
4,50,3,0.7906,0.966352,0.991417,0.987881,
4,50,4,0.776883,0.964143,0.980535,0.986303,
4,50,5,0.62565,0.898037,0.971576,0.986899,
5,10,1,0.948651,0.993833,0.991127,0.98501,
5,10,2,0.734268,0.987916,0.991383,0.98307,
5,10,3,0.607783,0.949884,0.987498,0.978342,
5,10,4,0.487061,0.843446,0.971055,0.981625,
5,10,5,0.44889,0.778467,0.947981,0.980594,
5,20,1,0.974566,0.994441,0.990925,0.987305,
5,20,2,0.805726,0.988916,0.991256,0.985152,
5,20,3,0.693374,0.948583,0.988353,0.98311,
5,20,4,0.585187,0.896335,0.972168,0.980391,
5,20,5,0.471677,0.825086,0.949904,0.979478,
5,30,1,0.960818,0.995017,0.991968,0.987828,
5,30,2,0.857665,0.972198,0.991326,0.983639,
5,30,3,0.678774,0.95789,0.988133,0.98437,
5,30,4,0.62901,0.923484,0.977057,0.982555,
5,30,5,0.482855,0.829181,0.956641,0.980927,
5,40,1,0.986063,0.983287,0.991177,0.987193,
5,40,2,0.905537,0.97418,0.992149,0.98761,
5,40,3,0.68707,0.947912,0.971353,0.985799,
5,40,4,0.65699,0.91817,0.968888,0.984845,
5,40,5,0.565801,0.813298,0.941933,0.9825,
5,50,1,0.958484,0.982415,0.992251,0.987962,
5,50,2,0.911649,0.954035,0.991343,0.987049,
5,50,3,0.718139,0.961635,0.980916,0.986717,
5,50,4,0.711811,0.924513,0.966293,0.985232,
5,50,5,0.546144,0.820269,0.937749,0.974053,
6,10,1,0.874492,0.993356,0.989787,0.9867,
6,10,2,0.638367,0.964413,0.988766,0.983048,
6,10,3,0.518947,0.893344,0.982949,0.978737,
6,10,4,0.410104,0.743282,0.932191,0.980773,
6,10,5,0.381515,0.65965,0.888466,0.966413,
6,20,1,0.942711,0.994941,0.992005,0.984737,
6,20,2,0.689256,0.978408,0.988937,0.984352,
6,20,3,0.601468,0.910452,0.977197,0.982584,
6,20,4,0.484022,0.822208,0.94586,0.976222,
6,20,5,0.410688,0.687492,0.891219,0.961493,
6,30,1,0.936101,0.986544,0.991593,0.985587,
6,30,2,0.762423,0.975783,0.990386,0.985756,
6,30,3,0.632165,0.899622,0.97269,0.982079,
6,30,4,0.492161,0.833029,0.956029,0.980427,
6,30,5,0.413188,0.732056,0.903805,0.966027,
6,40,1,0.962181,0.986774,0.991125,0.986533,
6,40,2,0.839993,0.955562,0.989718,0.98526,
6,40,3,0.596876,0.899773,0.968931,0.982248,
6,40,4,0.564691,0.886765,0.953114,0.984043,
6,40,5,0.491751,0.763263,0.87981,0.955096,
6,50,1,0.92634,0.967122,0.992794,0.988504,
6,50,2,0.857013,0.967319,0.990536,0.986479,
6,50,3,0.647456,0.914991,0.956804,0.983274,
6,50,4,0.585639,0.898276,0.943252,0.981378,
6,50,5,0.465657,0.757744,0.883967,0.96206,
7,10,1,0.800781,0.991185,0.989969,0.983415,
7,10,2,0.565336,0.926301,0.986629,0.983351,
7,10,3,0.441278,0.800343,0.950578,0.97807,
7,10,4,0.358442,0.68452,0.895937,0.973428,
7,10,5,0.31678,0.600718,0.822231,0.942239,
7,20,1,0.87997,0.991111,0.991865,0.98446,
7,20,2,0.587338,0.96443,0.987379,0.98177,
7,20,3,0.525674,0.861215,0.965861,0.981722,
7,20,4,0.426286,0.731634,0.907872,0.971554,
