conflicts_per_tx,mean_ro_entries_per_conflict,mean_rw_entries_per_conflict,1_stage,2_stage,3_stage,4_stage
1,10,1,0.958372,0.952077,0.913609,0.828944,
1,10,2,0.965906,0.951066,0.910509,0.825291,
1,10,3,0.946357,0.952832,0.914318,0.825007,
1,10,4,0.940861,0.954435,0.907932,0.818011,
1,10,5,0.910559,0.955534,0.910346,0.817864,
1,20,1,0.810822,0.947289,0.916601,0.824337,
1,20,2,0.831395,0.946802,0.915258,0.826814,
1,20,3,0.857504,0.947577,0.912558,0.825118,
1,20,4,0.84376,0.950824,0.912155,0.82158,
1,20,5,0.796073,0.948249,0.912683,0.822136,
1,30,1,0.734157,0.945032,0.92032,0.828642,
1,30,2,0.733524,0.942463,0.91359,0.829357,
1,30,3,0.738266,0.943265,0.913574,0.82454,
1,30,4,0.739611,0.945858,0.91441,0.82804,
1,30,5,0.695675,0.945764,0.91352,0.823513,
1,40,1,0.700728,0.944772,0.916839,0.825303,
1,40,2,0.679525,0.944675,0.915717,0.823192,
1,40,3,0.656651,0.926978,0.909491,0.82257,
1,40,4,0.672293,0.940263,0.915068,0.822765,
1,40,5,0.672339,0.942079,0.913379,0.819702,
1,50,1,0.635561,0.94617,0.915436,0.826825,
1,50,2,0.594491,0.945902,0.915373,0.824502,
1,50,3,0.586892,0.936444,0.913233,0.824539,
1,50,4,0.610186,0.940752,0.909302,0.821465,
1,50,5,0.594581,0.941883,0.911265,0.823814,
2,10,1,0.835108,0.951095,0.909481,0.825567,
2,10,2,0.76613,0.948758,0.90723,0.822476,
2,10,3,0.663614,0.948232,0.905259,0.815562,
2,10,4,0.616329,0.931562,0.905757,0.815138,
2,10,5,0.61913,0.908055,0.905745,0.818445,
2,20,1,0.533441,0.947583,0.909156,0.823496,
2,20,2,0.548545,0.948911,0.907147,0.823836,
2,20,3,0.497529,0.942836,0.91116,0.81888,
2,20,4,0.444857,0.897876,0.909016,0.819108,
2,20,5,0.446284,0.91155,0.903516,0.81696,
2,30,1,0.364473,0.934916,0.913747,0.82329,
2,30,2,0.339078,0.942529,0.910718,0.820696,
2,30,3,0.344093,0.909434,0.908307,0.819253,
2,30,4,0.347015,0.877288,0.908757,0.821017,
2,30,5,0.361195,0.864776,0.906142,0.821996,
2,40,1,0.301359,0.939194,0.912979,0.821856,
2,40,2,0.285917,0.94094,0.913516,0.826926,
2,40,3,0.299797,0.89089,0.910193,0.81681,
2,40,4,0.270726,0.868547,0.911034,0.816989,
2,40,5,0.289891,0.829211,0.907443,0.822537,
2,50,1,0.258423,0.893937,0.912908,0.825044,
2,50,2,0.277372,0.897504,0.915079,0.828983,
2,50,3,0.272889,0.805636,0.91015,0.821839,
2,50,4,0.240713,0.878147,0.906022,0.818361,
2,50,5,0.275572,0.796608,0.889644,0.821317,
3,10,1,0.666454,0.949293,0.905467,0.824799,
3,10,2,0.598077,0.943855,0.905242,0.818429,
3,10,3,0.518387,0.913485,0.902238,0.818138,
3,10,4,0.462908,0.868902,0.897254,0.811082,
3,10,5,0.41606,0.777294,0.891729,0.810634,
3,20,1,0.476672,0.93966,0.908516,0.821096,
3,20,2,0.418192,0.888774,0.909911,0.817924,
3,20,3,0.376501,0.867327,0.901263,0.813433,
3,20,4,0.362183,0.793779,0.901116,0.812573,
3,20,5,0.31708,0.734132,0.867414,0.805283,
3,30,1,0.341942,0.915441,0.905241,0.821333,
3,30,2,0.261034,0.828332,0.907951,0.818998,
3,30,3,0.259376,0.766643,0.887709,0.813416,
3,30,4,0.279787,0.772836,0.892438,0.811323,
3,30,5,0.256347,0.682915,0.853516,0.820027,
3,40,1,0.214604,0.785946,0.907351,0.81984,
3,40,2,0.223664,0.790645,0.908855,0.8244,
3,40,3,0.205129,0.671895,0.881448,0.811492,
3,40,4,0.183767,0.717596,0.864252,0.806678,
3,40,5,0.198671,0.614382,0.84401,0.80936,
3,50,1,0.176569,0.726014,0.902962,0.815599,
3,50,2,0.169368,0.682485,0.902645,0.821178,
3,50,3,0.171398,0.589829,0.889918,0.809044,
3,50,4,0.163919,0.631861,0.857554,0.811461,
3,50,5,0.170296,0.587476,0.838191,0.811197,
4,10,1,0.554039,0.946688,0.90487,0.815563,
4,10,2,0.498085,0.90532,0.905181,0.810348,
4,10,3,0.381044,0.814167,0.894149,0.806079,
4,10,4,0.347802,0.719256,0.893318,0.80857,
4,10,5,0.311223,0.594831,0.816108,0.808794,
4,20,1,0.435566,0.897133,0.907746,0.815744,
4,20,2,0.333455,0.818505,0.897412,0.810906,
4,20,3,0.304019,0.737341,0.887649,0.809247,
4,20,4,0.301161,0.677955,0.857995,0.807544,
4,20,5,0.237485,0.584161,0.799268,0.802569,
4,30,1,0.297007,0.851101,0.909309,0.816123,
4,30,2,0.235343,0.790053,0.899636,0.813419,
4,30,3,0.22219,0.629053,0.850809,0.811509,
4,30,4,0.236951,0.62279,0.850322,0.808698,
4,30,5,0.215296,0.562475,0.777255,0.798024,
4,40,1,0.209329,0.673898,0.893164,0.817767,
4,40,2,0.233977,0.752398,0.896865,0.820076,
4,40,3,0.194643,0.601943,0.796682,0.811572,
4,40,4,0.181085,0.53443,0.808995,0.808018,
4,40,5,0.19746,0.541448,0.773933,0.801907,
4,50,1,0.174274,0.62832,0.881714,0.818774,
4,50,2,0.147014,0.617126,0.873841,0.819908,
4,50,3,0.148694,0.465821,0.823767,0.796076,
4,50,4,0.139725,0.46541,0.757437,0.798863,
4,50,5,0.149636,0.428922,0.777839,0.802025,
5,10,1,0.434544,0.89929,0.899758,0.81296,
5,10,2,0.370106,0.796352,0.898406,0.807082,
5,10,3,0.30018,0.659882,0.869738,0.805166,
5,10,4,0.287175,0.582434,0.804212,0.803835,
5,10,5,0.228835,0.482342,0.69029,0.788723,
5,20,1,0.345089,0.857389,0.906215,0.816857,
5,20,2,0.303342,0.71966,0.887981,0.811022,
5,20,3,0.261447,0.62269,0.854,0.803401,
5,20,4,0.262262,0.549272,0.75822,0.800377,
