conflicts_per_tx,mean_rw_entries_per_conflict,1_stage,2_stage,3_stage,4_stage
1,5,0.996798,0.993408,0.989832,0.985782,
1,6,0.997179,0.993932,0.989682,0.987567,
1,7,0.996966,0.993252,0.989697,0.986057,
1,8,0.996386,0.991424,0.99071,0.984941,
1,9,0.996844,0.992266,0.989012,0.98579,
1,10,0.997008,0.992834,0.988669,0.984759,
1,11,0.995693,0.992798,0.989676,0.98373,
1,12,0.994498,0.991615,0.989746,0.983824,
1,13,0.983759,0.99322,0.986943,0.983337,
1,14,0.986573,0.991532,0.986278,0.984418,
1,15,0.978884,0.99233,0.986931,0.982377,
1,16,0.974698,0.991856,0.987814,0.981932,
1,17,0.94297,0.991214,0.98645,0.980207,
1,18,0.935414,0.990438,0.985829,0.983875,
1,19,0.919716,0.989645,0.986601,0.981919,
1,20,0.92044,0.989788,0.98633,0.980608,
1,21,0.921766,0.989764,0.985484,0.981846,
1,22,0.899719,0.991942,0.985286,0.979589,
1,23,0.892594,0.990945,0.984124,0.981153,
1,24,0.872332,0.983443,0.986257,0.980515,
1,25,0.864958,0.990639,0.986118,0.980727,
1,26,0.885889,0.991645,0.985501,0.978785,
1,27,0.872963,0.988882,0.986161,0.979943,
1,28,0.878153,0.979811,0.984367,0.97946,
1,29,0.878078,0.976997,0.984276,0.976939,
1,30,0.825414,0.976,0.98439,0.979057,
2,5,0.877314,0.990305,0.988682,0.984979,
2,6,0.796115,0.988216,0.987912,0.984216,
2,7,0.727019,0.984818,0.984436,0.982394,
2,8,0.664441,0.972133,0.98312,0.982875,
2,9,0.675933,0.933557,0.982529,0.981008,
2,10,0.652684,0.923216,0.983261,0.976197,
2,11,0.602739,0.865017,0.983925,0.980199,
2,12,0.594728,0.837419,0.978856,0.977912,
2,13,0.589614,0.826856,0.974694,0.975203,
2,14,0.521847,0.777379,0.964868,0.973455,
2,15,0.518414,0.778633,0.939994,0.975265,
2,16,0.517726,0.73673,0.914297,0.972588,
2,17,0.494775,0.720163,0.905781,0.972111,
2,18,0.480179,0.736733,0.889721,0.961497,
2,19,0.468592,0.687582,0.864097,0.965491,
2,20,0.44594,0.654129,0.829135,0.949684,
2,21,0.460464,0.664625,0.820877,0.928613,
2,22,0.429584,0.617913,0.796348,0.911967,
2,23,0.417546,0.647311,0.788571,0.886542,
2,24,0.399611,0.602245,0.766455,0.873133,
2,25,0.402265,0.590846,0.748601,0.850952,
2,26,0.392452,0.575943,0.707402,0.831294,
2,27,0.391299,0.575095,0.723753,0.830651,
2,28,0.384644,0.584325,0.72371,0.834206,
2,29,0.393129,0.577278,0.725659,0.812005,
2,30,0.378315,0.567085,0.681919,0.78488,
3,5,0.578304,0.967756,0.986187,0.980034,
3,6,0.546517,0.912126,0.981494,0.978821,
3,7,0.5201,0.843514,0.981332,0.977937,
3,8,0.489243,0.787215,0.969453,0.973983,
3,9,0.428707,0.706442,0.936992,0.972547,
3,10,0.417397,0.690409,0.915364,0.970553,
3,11,0.394269,0.664048,0.882757,0.96762,
