conflicts_per_tx,mean_rw_entries_per_conflict,1_stage,2_stage,3_stage,4_stage
0,5,0.997625,0.993947,0.988428,0.985309,
0,10,0.997625,0.993947,0.988428,0.985309,
0,15,0.997625,0.993947,0.988428,0.985309,
0,20,0.997625,0.993947,0.988428,0.985309,
0,25,0.997625,0.993947,0.988428,0.985309,
0,30,0.997625,0.993947,0.988428,0.985309,
5,5,0.360189,0.684629,0.941433,0.967661,
5,10,0.220256,0.453116,0.641567,0.782191,
5,15,0.166729,0.346954,0.478981,0.608644,
5,20,0.156505,0.291725,0.411746,0.515654,
5,25,0.147962,0.249411,0.358991,0.438358,
5,30,0.142865,0.212734,0.313229,0.3871,
10,5,0.178873,0.379774,0.569997,0.755402,
10,10,0.131782,0.255439,0.352468,0.456306,
10,15,0.126507,0.169381,0.275101,0.342198,
10,20,0.125983,0.145113,0.221324,0.286119,
10,25,0.124986,0.129907,0.165763,0.240807,
10,30,0.124788,0.127716,0.148584,0.197194,
15,5,0.144594,0.287727,0.438396,0.561286,
15,10,0.126672,0.163467,0.2623,0.334329,
15,15,0.124246,0.133319,0.177971,0.246857,
15,20,0.124471,0.125937,0.141837,0.193118,
15,25,0.12463,0.125541,0.133328,0.157518,
15,30,0.124582,0.124222,0.12512,0.131247,
20,5,0.129897,0.243517,0.333875,0.453485,
20,10,0.12442,0.132373,0.192018,0.259612,
20,15,0.124457,0.124619,0.134417,0.184632,
20,20,0.12444,0.123759,0.129474,0.142308,
20,25,0.124507,0.123828,0.123533,0.127763,
20,30,0.124691,0.123684,0.123493,0.126453,
25,5,0.125583,0.19221,0.286198,0.366195,
25,10,0.124525,0.125686,0.159024,0.231924,
25,15,0.124364,0.123948,0.126685,0.139735,
25,20,0.124272,0.12407,0.123298,0.127763,
25,25,0.124507,0.123843,0.124299,0.124384,
25,30,0.124396,0.123676,0.123441,0.123074,
30,5,0.124633,0.161018,0.25236,0.324678,
30,10,0.124354,0.124336,0.134466,0.196034,
30,15,0.124549,0.123956,0.124746,0.134127,
30,20,0.124457,0.124073,0.124102,0.124966,
30,25,0.124636,0.123972,0.123974,0.122598,
30,30,0.124338,0.124016,0.123596,0.122446,
35,5,0.125186,0.138252,0.228157,0.28356,
35,10,0.124419,0.123815,0.126845,0.161754,
35,15,0.124604,0.1237,0.123517,0.125654,
35,20,0.124623,0.124021,0.123308,0.123175,
35,25,0.124593,0.123877,0.12341,0.122891,
35,30,0.124585,0.123834,0.123454,0.122495,
40,5,0.124367,0.130932,0.203666,0.263734,
40,10,0.124562,0.124081,0.123733,0.143523,
40,15,0.124842,0.12404,0.123533,0.123481,
40,20,0.124579,0.12415,0.12379,0.123836,
40,25,0.124494,0.123911,0.123671,0.122801,
40,30,0.124447,0.124004,0.123827,0.123092,
45,5,0.124694,0.127688,0.165913,0.239,
45,10,0.124478,0.124173,0.123296,0.134064,
45,15,0.124641,0.12415,0.124227,0.122946,
45,20,0.124564,0.124062,0.123264,0.122869,
45,25,0.124568,0.123936,0.123554,0.123446,
45,30,0.124502,0.124134,0.123462,0.123038,
50,5,0.12435,0.124813,0.151031,0.227306,
50,10,0.124525,0.123986,0.123758,0.1253,
50,15,0.124534,0.124073,0.123334,0.123191,
50,20,0.124424,0.123727,0.123922,0.122495,
50,25,0.124529,0.123947,0.12327,0.123054,
50,30,0.124598,0.124197,0.123133,0.122631,
